"Date","Price","Open","High","Low","Change %"
"Aug 13, 1990","1.3182","1.3182","1.3203","1.3129","1.01%"
"Aug 14, 1990","1.3245","1.3245","1.3245","1.3136","0.48%"
"Aug 15, 1990","1.3305","1.3305","1.3371","1.3252","0.45%"
"Aug 16, 1990","1.3265","1.3265","1.3297","1.3230","-0.30%"
"Aug 17, 1990","1.3370","1.3370","1.3390","1.3320","0.79%"
"Aug 20, 1990","1.3310","1.3310","1.3352","1.3278","-0.45%"
"Aug 21, 1990","1.3224","1.3224","1.3348","1.3192","-0.65%"
"Aug 22, 1990","1.3279","1.3279","1.3363","1.3237","0.42%"
"Aug 23, 1990","1.3335","1.3335","1.3456","1.3275","0.42%"
"Aug 24, 1990","1.3388","1.3388","1.3410","1.3320","0.40%"
"Aug 27, 1990","1.3403","1.3403","1.3462","1.3357","0.11%"
"Aug 28, 1990","1.3380","1.3380","1.3440","1.3360","-0.17%"
"Aug 29, 1990","1.3367","1.3367","1.3402","1.3345","-0.10%"
"Aug 30, 1990","1.3268","1.3268","1.3342","1.3228","-0.74%"
"Aug 31, 1990","1.3160","1.3160","1.3320","1.3141","-0.81%"
"Sep 03, 1990","1.3083","1.3083","1.3295","1.3053","-0.59%"
"Sep 04, 1990","1.3087","1.3087","1.3156","1.3057","0.03%"
"Sep 05, 1990","1.3235","1.3235","1.3252","1.3123","1.13%"
"Sep 06, 1990","1.3291","1.3291","1.3342","1.3272","0.42%"
"Sep 07, 1990","1.3210","1.3210","1.3335","1.3210","-0.61%"
"Sep 10, 1990","1.3088","1.3088","1.3253","1.3088","-0.92%"
"Sep 11, 1990","1.3035","1.3035","1.3250","1.2961","-0.40%"
"Sep 12, 1990","1.3054","1.3054","1.3115","1.3002","0.15%"
"Sep 13, 1990","1.3015","1.3015","1.3129","1.2984","-0.30%"
"Sep 14, 1990","1.3186","1.3186","1.3272","1.3022","1.31%"
"Sep 17, 1990","1.3342","1.3342","1.3346","1.3190","1.18%"
"Sep 18, 1990","1.3365","1.3365","1.3415","1.3302","0.17%"
"Sep 19, 1990","1.3215","1.3215","1.3375","1.3193","-1.12%"
"Sep 20, 1990","1.3131","1.3131","1.3354","1.3108","-0.64%"
"Sep 21, 1990","1.3137","1.3137","1.3188","1.3117","0.05%"
"Sep 24, 1990","1.3304","1.3304","1.3304","1.3123","1.27%"
"Sep 25, 1990","1.3265","1.3265","1.3337","1.3235","-0.29%"
"Sep 26, 1990","1.3169","1.3169","1.3303","1.3132","-0.72%"
"Sep 27, 1990","1.3125","1.3125","1.3203","1.3120","-0.33%"
"Sep 28, 1990","1.3155","1.3155","1.3206","1.3137","0.23%"
"Oct 01, 1990","1.3285","1.3285","1.3336","1.3165","0.99%"
"Oct 02, 1990","1.3302","1.3302","1.3312","1.3205","0.13%"
"Oct 03, 1990","1.3390","1.3390","1.3399","1.3311","0.66%"
"Oct 04, 1990","1.3440","1.3440","1.3472","1.3374","0.37%"
"Oct 05, 1990","1.3357","1.3357","1.3487","1.3357","-0.62%"
"Oct 08, 1990","1.3497","1.3497","1.3532","1.3394","1.05%"
"Oct 09, 1990","1.3600","1.3600","1.3635","1.3560","0.76%"
"Oct 10, 1990","1.3565","1.3565","1.3633","1.3540","-0.26%"
"Oct 11, 1990","1.3618","1.3618","1.3618","1.3497","0.39%"
"Oct 12, 1990","1.3630","1.3630","1.3684","1.3610","0.09%"
"Oct 15, 1990","1.3610","1.3610","1.3651","1.3554","-0.15%"
"Oct 16, 1990","1.3685","1.3685","1.3685","1.3537","0.55%"
"Oct 17, 1990","1.3674","1.3674","1.3735","1.3664","-0.08%"
"Oct 18, 1990","1.3685","1.3685","1.3753","1.3655","0.08%"
"Oct 19, 1990","1.3760","1.3760","1.3854","1.3700","0.55%"
"Oct 22, 1990","1.3639","1.3639","1.3760","1.3639","-0.88%"
"Oct 23, 1990","1.3645","1.3645","1.3685","1.3590","0.04%"
"Oct 24, 1990","1.3733","1.3733","1.3733","1.3613","0.64%"
"Oct 25, 1990","1.3690","1.3690","1.3757","1.3690","-0.31%"
"Oct 26, 1990","1.3668","1.3668","1.3685","1.3617","-0.16%"
"Oct 29, 1990","1.3662","1.3662","1.3758","1.3662","-0.04%"
"Oct 30, 1990","1.3648","1.3648","1.3677","1.3568","-0.10%"
"Oct 31, 1990","1.3680","1.3680","1.3690","1.3629","0.23%"
"Nov 01, 1990","1.3740","1.3740","1.3740","1.3568","0.44%"
"Nov 02, 1990","1.3765","1.3765","1.3797","1.3727","0.18%"
"Nov 05, 1990","1.3897","1.3897","1.3897","1.3811","0.96%"
"Nov 06, 1990","1.3914","1.3914","1.3937","1.3840","0.12%"
"Nov 07, 1990","1.3925","1.3925","1.3979","1.3842","0.08%"
"Nov 08, 1990","1.3882","1.3882","1.3927","1.3818","-0.31%"
"Nov 09, 1990","1.3870","1.3870","1.3883","1.3810","-0.09%"
"Nov 12, 1990","1.3915","1.3915","1.3952","1.3905","0.32%"
"Nov 13, 1990","1.3921","1.3921","1.3982","1.3902","0.04%"
"Nov 14, 1990","1.3918","1.3918","1.3962","1.3902","-0.02%"
"Nov 15, 1990","1.3927","1.3927","1.3965","1.3898","0.06%"
"Nov 16, 1990","1.3985","1.3985","1.4009","1.3878","0.42%"
"Nov 19, 1990","1.3985","1.3985","1.4026","1.3972","0.00%"
"Nov 20, 1990","1.3967","1.3967","1.3983","1.3945","-0.13%"
"Nov 21, 1990","1.3929","1.3929","1.3998","1.3927","-0.27%"
"Nov 22, 1990","1.3956","1.3956","1.3982","1.3925","0.19%"
"Nov 23, 1990","1.3888","1.3888","1.3955","1.3884","-0.49%"
"Nov 26, 1990","1.3832","1.3832","1.3914","1.3824","-0.40%"
"Nov 27, 1990","1.3942","1.3942","1.3958","1.3853","0.80%"
"Nov 28, 1990","1.3901","1.3901","1.3982","1.3879","-0.29%"
"Nov 29, 1990","1.3876","1.3876","1.3901","1.3813","-0.18%"
"Nov 30, 1990","1.3710","1.3710","1.3735","1.3657","-1.20%"
"Dec 03, 1990","1.3615","1.3615","1.3795","1.3610","-0.69%"
"Dec 04, 1990","1.3698","1.3698","1.3741","1.3591","0.61%"
"Dec 05, 1990","1.3698","1.3698","1.3776","1.3697","0.00%"
"Dec 06, 1990","1.3792","1.3792","1.3811","1.3691","0.69%"
"Dec 07, 1990","1.3893","1.3893","1.3902","1.3786","0.73%"
