"Date","Price","Open","High","Low","Change %"
"Feb 05, 2015","1.5328","1.5181","1.5347","1.5164","0.96%"
"Feb 06, 2015","1.5246","1.5330","1.5354","1.5210","-0.53%"
"Feb 09, 2015","1.5215","1.5249","1.5272","1.5203","-0.20%"
"Feb 10, 2015","1.5254","1.5215","1.5277","1.5197","0.26%"
"Feb 11, 2015","1.5238","1.5251","1.5301","1.5218","-0.10%"
"Feb 12, 2015","1.5385","1.5234","1.5417","1.5210","0.96%"
"Feb 13, 2015","1.5400","1.5385","1.5425","1.5372","0.10%"
"Feb 16, 2015","1.5362","1.5402","1.5445","1.5340","-0.25%"
"Feb 17, 2015","1.5354","1.5362","1.5403","1.5316","-0.05%"
"Feb 18, 2015","1.5435","1.5357","1.5483","1.5344","0.53%"
"Feb 19, 2015","1.5413","1.5433","1.5466","1.5402","-0.14%"
"Feb 20, 2015","1.5400","1.5413","1.5435","1.5343","-0.08%"
